Disaster Type,Severity,Area Size (sq km),Population Affected,Duration (days),Rice Supply (kg),Vegetables Supply (kg),Dry Food Supply (kg),Water Supply (liters)
Earthquake,4,870,38258,11,177751.56809382336,85797.92907079536,62441.83092136199,1465434.092422624
Earthquake,5,3181,16123,3,17492.492112367494,10582.962785568941,7737.747542786268,172543.86574640896
Drought,4,1194,19869,22,157609.5847364026,79084.48004437015,65892.5834982848,1621355.7931733115
Drought,4,2757,289,15,1775.0562680367148,846.6189092857262,713.0941766991729,16298.904276668107
Flood,3,656,30840,9,101366.05761191955,60495.70678880141,45511.22481300524,1115362.8673330063
Flood,2,2622,23583,7,67485.06866107303,35216.365968972714,23144.511310971495,611217.8303522102
Storm,4,3083,1121,6,2533.2492499561154,1363.4140961966905,914.3283961516826,27200.68099720195
Drought,2,4307,26657,4,43486.310315253475,23124.9442372818,14677.853355263762,379047.5083150997
Flood,5,347,17362,21,148371.17188026963,79705.72062156477,55861.04702325181,1318193.512299184
Flood,5,74,49084,7,135329.7334362352,67272.90204267632,49409.550449250644,1174094.6292021621
Earthquake,1,401,14086,3,17820.267384820378,7731.599155719168,6159.2713427047165,147658.4478010816
Earthquake,1,4885,48133,1,17572.620325945376,9262.6804836456,6967.516465173402,190549.49207573317
Drought,3,1580,5156,3,5716.470703693893,3225.5388147506114,2441.2146939601853,59263.891618847774
Earthquake,3,4498,306,15,1693.1191094021044,906.8621817425554,647.4267341615841,18748.282062435082
Flood,4,4201,22503,5,42749.32921301486,22099.66938341416,17739.850090595133,402769.9692718495
Drought,3,3324,22399,2,18364.865011863814,8593.391914326317,6189.507955556294,168086.42661618954
Drought,4,1373,49025,11,208131.89289620955,99703.05927084823,78566.40049886882,2207235.9277156424
Flood,1,1316,6876,20,53386.021529846,26430.140744875687,19244.50418772652,524061.9985530507
Storm,5,4789,763,15,4274.2872782135355,2160.2502597205516,1736.699322392654,42486.174568163784
Storm,1,4669,17775,7,49742.611627652805,23893.971347958068,17860.613355387493,427328.133927413
Flood,2,4747,47423,22,378348.7222351632,202195.6761397491,160700.98692105003,4091631.238952727
Flood,4,2787,38659,6,87995.09507585429,47987.90115051933,36613.61148761872,831877.8820115644
Earthquake,5,2941,40645,6,95574.10534231627,51860.72963688046,38763.222768899475,858567.058997265
Earthquake,5,1804,49911,28,578855.0092951589,252478.70494517242,210133.20437153138,5000223.952958628
Drought,4,498,19460,8,60861.35669696542,33855.60498586139,21659.077817539448,570518.5076153488
Flood,2,4071,30406,7,87860.90594608056,45269.128301409095,32278.771534273583,810384.3125176261
Storm,1,3733,21032,5,45283.04302798328,19722.57758052718,15076.383343157815,413980.3094557521
Drought,3,4509,6395,22,59426.05524373673,28937.297291897874,19348.2795502546,496474.3196459802
Storm,4,263,48454,16,285388.41873667936,160123.08142103153,104778.36191216865,2735311.016732821
Storm,2,2879,46860,4,78157.66985995058,35517.99875841601,27134.187582689196,744435.5781743192
Drought,3,4506,4835,1,1950.4545611786352,968.7046424606162,745.0250462678642,17387.141549969205
Storm,5,572,10777,8,35390.89982231841,18259.89805384587,12939.220788574718,331346.73140492826
Drought,1,4558,27743,29,321766.8828964911,163226.63049844606,127163.97979644293,2767245.887301562
Drought,4,2215,43584,14,264321.62353337224,118866.15820348266,82656.69769341353,2507357.8883848647
Flood,5,616,799,1,292.45613268391173,153.59007673641835,112.4411374166738,2884.178637866013
Earthquake,2,1826,32845,22,300367.93366234953,146543.02003579497,99656.2128790146,2797912.175458999
Storm,2,164,10829,2,8355.74435615037,4633.6596167391435,3012.598343891144,85400.64793890707
Earthquake,5,2816,49789,3,56833.62900350988,30539.658738034967,20530.169338315278,509404.94218025735
Drought,5,4125,2468,8,8216.610721966088,4182.405218613856,3192.6079640653807,72309.68191729569
Drought,2,4939,11066,22,94033.87385616469,45331.167667024114,40036.95383822927,983928.9474819637
Storm,1,1725,4877,6,11244.252439229429,5895.804239385141,4237.124059123073,118019.40581114615
Drought,4,14,21706,4,37105.26491718722,16303.394082862835,12792.701743579231,341741.9332780517
Drought,4,4374,37333,28,436075.3130145444,189875.47443591454,153625.65179945636,3903945.617038575
Storm,2,750,32317,21,248707.32039244223,133785.40466477716,105636.35331461164,2341741.643146859
Storm,1,2859,46275,22,424697.5503283839,210133.55757469946,145986.35111357452,4203867.4784272285
Earthquake,5,2304,8230,12,40025.746792671605,18403.516926766897,13688.623818518558,361985.31516487827
Drought,5,3128,13396,14,82211.94580638339,35073.205605445044,25414.99385045801,747244.099932319
Flood,4,1767,37320,23,312309.7486539013,187093.1492067513,138711.32931723457,3093526.4124524165
Storm,2,3740,35357,1,14254.181475446485,7331.576279784404,5426.434488580025,145707.11432507823
Storm,1,905,22787,27,260912.30020832416,127409.90581931149,93641.51997064847,2155693.9218668956
Flood,3,3508,38255,3,48847.90293803278,23648.405993690365,16204.87891683764,414747.92212419654
Drought,2,2556,34950,23,293963.9996051804,154949.3424164656,128894.34056168387,2752476.3341747215
Storm,3,626,20458,4,33995.56830659831,15869.963240624564,13346.753746879689,281188.1764817828
Flood,5,2818,44525,5,93513.4487267237,47257.363353174995,36669.711217136995,827909.3333140616
Storm,1,2153,23290,5,44144.76834580681,24127.71698477535,18305.621254622904,417688.0731602147
Storm,1,3962,14497,20,123548.24621786231,55901.007252912634,46931.34014610565,1073104.376992263
Drought,5,4181,4460,7,13628.90589069184,6464.75025664507,4666.629121435299,118002.87160397628
Drought,5,3150,37359,25,377602.58466517366,176062.80143021018,152598.28644563782,3733977.048405303
Earthquake,5,2992,23025,26,236659.7787717738,129013.96436033025,87120.00816792906,2092353.4272239807
Drought,1,963,35407,17,221560.25280713232,110370.43938519734,93916.86415916226,2083591.7325729912
Storm,3,2691,18024,29,191718.1067041179,114713.78244497004,76432.85543575622,1927219.9319513796
Drought,1,520,40362,25,411037.6265526094,195764.5088733181,157659.45706209683,3805250.56317333
Drought,3,723,28278,7,78140.40038472605,37638.8948635797,29128.953968101032,759935.494181554
Drought,4,465,13216,9,49901.4009058771,24650.142144664595,16904.939091642347,441219.048609716
Drought,1,833,17412,6,41256.71015996802,22156.87829857284,17168.617159982885,399855.6955065806
Earthquake,5,4185,27609,21,254780.84529417707,106073.47745885489,87905.07365096272,2400478.376002815
Storm,1,3386,38513,15,228977.0880328815,118486.58660296653,88115.48869279247,2362008.0364910383
Flood,3,1363,11075,16,76412.37940043763,35125.69506374514,27218.624889912968,640839.8228375624
Drought,4,4195,36587,26,359911.4803671026,181346.22569509328,138703.8478786546,3427665.2858139235
Earthquake,1,2518,35647,16,212746.631727139,123445.32566121731,91071.59284727146,2352986.340070428
Drought,5,1848,10236,2,7505.442052397023,4402.840557594914,3102.483207801666,72292.3546544555
Drought,1,4479,27812,18,219761.45814025044,93122.92409426736,76506.10026590174,1849693.2072119792
Storm,3,4794,46640,1,18539.187917826996,9169.08726356115,6678.951175045444,160869.58034499604
Storm,4,2010,32706,5,71909.20175733567,33068.58987268791,25849.125360134065,674019.5826344088
Storm,3,2058,45206,13,240062.919745986,111156.77386610658,91178.84144430795,2276913.205648532
Drought,2,259,43225,3,52079.176160535826,27761.76544215227,19653.180579542444,496801.78851435037
Storm,3,1858,23028,16,146791.03811648185,72518.4626631036,58413.76357541259,1433445.6718336155
Earthquake,3,2160,15881,28,194958.91192331025,90856.12831520365,68523.04071621412,1701520.0634935757
Earthquake,2,1341,29020,6,68964.20216832738,37682.850359823125,25062.62099107453,662155.1886228984
Flood,5,4902,39911,10,173264.43096625636,79696.14134923898,56971.88753441991,1498285.1884558953
Storm,5,4310,39137,11,174945.98834716997,83373.07412176064,65057.314852179734,1616472.0762138416
Drought,3,3455,22515,8,67437.89736764446,37439.75376387286,26540.65253790234,732792.719848688
Earthquake,5,681,10261,29,111702.38008303019,54048.869330952,41679.91013349963,1076423.9838867185
Flood,5,533,18877,14,102841.56082704506,52891.72438027921,41151.214935615346,908127.732605545
Flood,1,2271,10578,24,109136.09219673887,55048.3087227125,34737.89951472822,918025.6200938533
Flood,1,1286,22295,15,134748.94614274512,72557.40661158015,47516.273147633634,1331608.8648389017
Storm,2,374,39677,14,206537.345223511,102943.78101031663,86440.68961831294,2247320.4464765596
Earthquake,4,3355,40541,6,97933.12156768951,46143.47920508534,34802.98016866539,898089.5566986802
Storm,1,1306,30026,22,255112.76647382957,122067.42043760426,106824.94160678743,2547066.207551433
Drought,2,76,16716,13,86568.24218944102,44193.48886497067,34140.10255449353,832009.5072411725
Drought,1,2482,19223,26,204219.67079935066,94848.72873579693,74943.42608668514,1827548.2722571595
Flood,1,1470,27385,21,214063.15984462574,109173.1640091202,80408.63842622915,2040247.0185490947
Storm,1,4864,24918,8,82878.64686031776,43833.796292914834,32273.456287868794,765985.4602494821
Earthquake,4,655,217,17,1472.8697797348525,770.6905480175094,588.8597392338816,14572.92287619185
Earthquake,2,1151,26486,20,212210.50958373837,100485.97133819666,73337.14088402552,2049348.6202038114
Drought,5,1927,20718,4,31959.700779891464,16885.611202432727,12105.686053910644,310801.56221306213
Flood,2,2229,39909,13,215187.50854050973,95210.55879482326,72201.03457448607,1768414.8012509935
Flood,3,2968,14331,6,33787.964227509365,16677.39147067864,14005.90478991881,346977.490781313
Drought,2,4439,2008,24,21169.50986635477,9069.737889203425,7054.193518997265,197964.16812057802
Drought,4,3860,41932,5,78859.45471369682,39111.28419924895,29337.29901582636,843490.0780336898
Earthquake,2,2631,20711,25,222734.40080156058,101327.43061983021,82584.06824317189,1935921.9570047033
