Disaster Type,Severity,Area Size (sq km),Population Affected,Duration (days),Age 0-12,Age 12-60,Age 60+,Females,Baby Food (kg),Elder Medicine (units),Sanitary Items (units),Clothing Supply (sets)
Earthquake,4,870,38258,11,9791.68365768712,23695.85866854334,4770.457673769539,18921.76694586727,5000.0,10000.0,8000.0,5000.0
Earthquake,5,779,2533,28,346.2127246917496,1420.6291202833017,766.1581550249487,1272.7708041324458,1912.4023776860672,10000.0,8000.0,612.6013847094866
Drought,4,985,289,15,64.64271133945243,166.60630309524203,57.75098556530554,158.4653725998162,192.63901199983968,928.6255231809815,1231.3490464259241,96.85828514575938
Storm,4,610,43423,14,11362.907609452219,24356.948739763055,7703.143650784725,19964.47162064992,5000.0,10000.0,8000.0,5000.0
Earthquake,3,3162,26631,18,6191.826190926178,14975.735533467421,5463.438275606401,13368.94314719863,5000.0,10000.0,8000.0,5000.0
Storm,2,1991,33863,14,8311.822319137196,19143.0300108144,6408.147670048405,17170.044430529004,5000.0,10000.0,8000.0,5000.0
Earthquake,5,4897,12285,25,1918.7560903018943,7475.904276319816,2890.3396333782894,5701.375410381496,5000.0,10000.0,8000.0,5000.0
Drought,3,401,14086,3,3581.422820683646,7251.598592865279,3252.978586451074,6843.634825227463,1983.7654544485035,10000.0,8000.0,4215.508873422325
Drought,5,2741,11065,27,2348.5317014009624,6379.917173830137,2336.551124768901,6054.449433548044,5000.0,10000.0,8000.0,3063.018797406215
Earthquake,1,216,21618,26,2271.70213639077,11275.479373748252,8070.818489860978,9796.043613617583,5000.0,10000.0,8000.0,5000.0
Earthquake,5,1688,33927,13,3915.039480152292,18929.57950860108,11082.381011246627,15814.125461266662,5000.0,10000.0,8000.0,5000.0
Drought,4,3637,26039,11,4293.024000391266,13655.309650490166,8090.666349118568,12645.313940568636,5000.0,10000.0,8000.0,5000.0
Flood,1,1292,40394,6,8165.625308063638,23569.180012238354,8659.194679698008,19074.48228961547,5000.0,10000.0,8000.0,5000.0
Drought,1,3773,46676,26,13652.237987743598,25688.43808798894,7335.323924267461,23325.1571261033,5000.0,10000.0,8000.0,5000.0
Storm,4,864,24648,1,5591.898388839843,15679.605593984377,3376.4960171757775,12400.247560960079,1106.700028252207,3412.2146780928706,6315.070012899484,5000.0
Drought,3,4506,25442,6,4415.627692528648,15938.424988392368,5087.947319078983,13060.726290117867,5000.0,10000.0,8000.0,5000.0
Storm,5,1804,49911,28,11754.682972782031,25121.083025923643,13035.234001294324,25015.857663277544,5000.0,10000.0,8000.0,5000.0
Drought,2,2929,37604,11,6325.491812978784,19655.41165854622,11623.096528474995,20399.01788217471,5000.0,10000.0,8000.0,5000.0
Flood,4,3653,46036,2,13776.30706441116,31906.809051186177,352.88388440266135,23286.359743025634,5000.0,661.8276708871504,8000.0,5000.0
Drought,3,4509,6395,22,1636.960823151901,4018.6584754313335,739.3807014167651,2931.5575076143336,5000.0,10000.0,8000.0,1296.644543526504
Storm,1,108,2300,29,360.6036483792342,1290.4673757584208,648.9289758623449,1146.6911633248321,2069.9269676389226,10000.0,8000.0,472.4720008947094
Storm,5,4921,4087,24,939.7099316811932,2737.6552157379406,409.6348525808662,2107.9163890831505,4572.230334124397,9032.300574353787,8000.0,1142.5646230145635
Storm,5,572,10777,8,2438.0561944745004,7101.636283653668,1237.3075218718313,5391.341995239466,3960.888628692784,9883.647513024463,8000.0,4491.159933851974
